Artist,Song,Days,PkStreams,Total,listeners,playcount,rank,track_url,artist_url,duration_min,duration,genre,genre_description,artist_listeners,artist_playcount
Drake,Passionfruit,399,"5,587,887","491,722,119",1469745,25183315,192,https://www.last.fm/music/Drake/_/Passionfruit,https://www.last.fm/music/Drake,4.066666666666666,4 мин 04 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",6480644,1052429419
XXXTENTACION,Fuck Love,545,"5,398,344","488,482,779",779891,9931649,1204,https://www.last.fm/music/XXXTENTACION/_/fuck+love,https://www.last.fm/music/XXXTENTACION,2.433333333333333,2 мин 26 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",2665848,319642893
Saja Boys,Your Idol,133,"4,596,275","488,373,407",528367,9020152,1299,https://www.last.fm/music/Saja+Boys/_/Your+Idol,https://www.last.fm/music/Saja+Boys,3.183333333333333,3 мин 11 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",675778,15326972
Travis Scott,I KNOW ?,278,"6,789,555","485,248,773",971549,18828290,459,https://www.last.fm/music/Travis+Scott/_/I+KNOW+%3F,https://www.last.fm/music/Travis+Scott,3.533333333333333,3 мин 32 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",186496,11673244
ZAYN,PILLOWTALK,413,"3,781,525","484,589,224",1085820,11657333,1032,https://www.last.fm/music/Zayn/_/Pillowtalk,https://www.last.fm/music/Zayn,3.3666666666666667,3 мин 22 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2121329,110237099
The Chainsmokers,Roses,488,"2,161,881","482,541,088",706395,5618572,1568,https://www.last.fm/music/The+Chainsmokers/_/Roses,https://www.last.fm/music/The+Chainsmokers,3.7666666666666666,3 мин 46 сек,electronic,"Electronic music refers to music that emphasizes the use of electronic musical instruments or electronic music technology as a central aspect of the sound of the music. Historically, electronic music was considered to be any music created with the use of electronic musical instruments or electronic processing, but in modern times, that distinction has been lost because almost all recorded music today, and the majority of live music performances, depend on extensive use of electronics.",2618245,82171145
Surf Curse,Freaks,450,"1,542,683","481,934,352",1524050,20470408,372,https://www.last.fm/music/Surf+Curse/_/Freaks,https://www.last.fm/music/Surf+Curse,2.45,2 мин 27 сек,lofi,"Lo-fi is an aesthetic in music production which uses low fidelity recording practices. Its use is usually due to the artist’s financial limitations. Many lo-fi artists use inexpensive cassette tape recorders for their music. The term was coined by WFMU DJ William Berger who dedicated a half hour segment of his program to home recorded music throughout the late ’80s under the name Lo-fi…
As a term to describe a musical genre, lo-fi is mainly associated with recordings from the 1980s onwards",1882371,42547600
Billie Eilish,ocean eyes,569,"1,652,493","480,519,396",1407471,16690427,598,https://www.last.fm/music/Billie+Eilish/_/ocean+eyes,https://www.last.fm/music/Billie+Eilish,3.333333333333333,3 мин 20 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3989143,768279522
Don Toliver,No Pole,317,"2,102,738","473,028,319",847027,13543598,836,https://www.last.fm/music/Don+Toliver/_/No+Pole,https://www.last.fm/music/Don+Toliver,3.1166666666666667,3 мин 07 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",2270038,216062399
Tory Lanez,The Color Violet,380,"1,692,553","471,377,989",1006483,24904997,204,https://www.last.fm/music/Tory+Lanez/_/The+Color+Violet,https://www.last.fm/music/Tory+Lanez,3.7666666666666666,3 мин 46 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",1833305,130944238
Taylor Swift,I Can Do It With a Broken Heart,178,"13,650,325","469,720,658",753767,18294853,488,https://www.last.fm/music/Taylor+Swift/_/I+Can+Do+It+with+a+Broken+Heart,https://www.last.fm/music/Taylor+Swift,3.633333333333333,3 мин 38 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
Linkin Park,The Emptiness Machine,197,"6,441,158","468,866,546",662073,12730363,909,https://www.last.fm/music/Linkin+Park/_/The+Emptiness+Machine,https://www.last.fm/music/Linkin+Park,3.1666666666666665,3 мин 10 сек,metal,"Metal is a subgenre of rock music that developed in the late 1960s and early 1970s. With roots in blues-rock and psychedelic rock, the bands that created heavy metal developed a thick, massive sound characterized by highly amplified distortion and extended guitar solos. Allmusic states that, “of all rock & roll’s myriad forms, heavy metal is the most extreme in terms of volume, machismo and theatricality.”

Heavy metal has long had a worldwide following of fans known as metalheads or headbangers.",6677126,686195766
New West,Those Eyes,358,"1,546,922","462,363,405",703374,8642611,1339,https://www.last.fm/music/New+West/_/Those+Eyes,https://www.last.fm/music/New+West,3.6666666666666665,3 мин 40 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",800204,11529377
¥$,CARNIVAL,137,"6,842,727","458,896,948",938625,11501429,1050,https://www.last.fm/music/%C2%A5$/_/CARNIVAL,https://www.last.fm/music/%C2%A5$,4.4,4 мин 24 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",1382787,73099047
Doja Cat,Streets,329,"2,765,213","456,882,894",1373796,20457175,376,https://www.last.fm/music/Doja+Cat/_/Streets,https://www.last.fm/music/Doja+Cat,3.7666666666666666,3 мин 46 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3400289,425173698
Rihanna,Needed Me,409,"2,104,004","451,689,841",1351154,15431219,686,https://www.last.fm/music/Rihanna/_/Needed+Me,https://www.last.fm/music/Rihanna,3.083333333333333,3 мин 05 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",8003572,554957209
NewJeans,OMG,230,"3,140,808","451,165,651",925842,27870041,136,https://www.last.fm/music/NewJeans/_/OMG,https://www.last.fm/music/NewJeans,3.533333333333333,3 мин 32 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",1659655,301436663
Doja Cat,Agora Hills,212,"3,163,985","451,020,545",1046037,18826492,460,https://www.last.fm/music/Doja+Cat/_/Agora+Hills,https://www.last.fm/music/Doja+Cat,4.416666666666667,4 мин 25 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3400289,425173698
Taylor Swift,Lavender Haze,238,"16,419,161","447,677,666",1021189,26852943,148,https://www.last.fm/music/Taylor+Swift/_/Lavender+Haze,https://www.last.fm/music/Taylor+Swift,3.333333333333333,3 мин 20 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
21 Savage,redrum,164,"4,392,161","440,050,958",852584,10118184,1172,https://www.last.fm/music/21+Savage/_/redrum,https://www.last.fm/music/21+Savage,4.516666666666667,4 мин 31 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",2178007,203781919
Queen,Don't Stop Me Now - Remastered 2011,511,"1,539,298","438,821,496",1496191,12125448,987,https://www.last.fm/music/Queen/_/Don%27t+Stop+Me+Now+-+Remastered+2011,https://www.last.fm/music/Queen,3.4833333333333334,3 мин 29 сек,rock,"Rock music is a form of popular music with a prominent vocal melody, accompanied by guitar, drums, and bass. Many styles of rock music also use keyboard instruments such as organ, piano, mellotron, and synthesizers. Other instruments sometimes utilized in rock include saxophone, harmonica, violin, flute, French horn, banjo, melodica, and timpani. Also, less common stringed instruments such as mandolin and sitar are used. Rock music usually has a strong back beat",6991199,406937154
Ariana Grande,"break up with your girlfriend, i'm bored",237,"7,709,744","437,732,762",1060348,15496011,677,"https://www.last.fm/music/Ariana+Grande/_/break+up+with+your+girlfriend,+i%27m+bored",https://www.last.fm/music/Ariana+Grande,3.1666666666666665,3 мин 10 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4198338,1001304833
Olivia Rodrigo,favorite crime,338,"3,789,940","433,840,875",1215168,24166302,222,https://www.last.fm/music/Olivia+Rodrigo/_/favorite+crime,https://www.last.fm/music/Olivia+Rodrigo,2.6666666666666665,2 мин 40 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2903012,513026427
SZA,Good Days,282,"3,131,896","426,139,423",1418213,24823461,206,https://www.last.fm/music/SZA/_/Good+Days,https://www.last.fm/music/SZA,4.633333333333334,4 мин 38 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",3316727,546918064
Childish Gambino,Redbone,521,"1,761,215","425,196,987",1869734,26692600,156,https://www.last.fm/music/Childish+Gambino/_/Redbone,https://www.last.fm/music/Childish+Gambino,5.416666666666667,5 мин 25 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",3592125,301295298
HUNTR/X,How It’s Done,133,"3,918,298","419,539,603",495669,7035514,1461,https://www.last.fm/music/HUNTR%2FX/_/How+It%E2%80%99s+Done,https://www.last.fm/music/HUNTR%2FX,2.933333333333333,2 мин 56 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",901181,31823273
Fetty Wap,Trap Queen,561,"1,654,480","412,797,596",1086045,8808457,1324,https://www.last.fm/music/Fetty+Wap/_/Trap+Queen,https://www.last.fm/music/Fetty+Wap,3.7,3 мин 42 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",1541310,28429165
Maroon 5,Maps,616,"1,508,556","412,134,210",1434208,14115600,791,https://www.last.fm/music/Maroon+5/_/Maps,https://www.last.fm/music/Maroon+5,3.1666666666666665,3 мин 10 сек,pop rock,"Pop rock is a hybrid of pop music and rock music that uses catchy pop style, with light lyrics over top of guitar- or piano- based songs. There are varying definitions of the term, ranging from it being classed as an ""upbeat variety of rock music"" to a subgenre of pop music or of rock music. Scholars have noted that pop and rock are usually depicted as opposites; the detractors of pop often deride it as a slick, commercial product along with advocates of rock who claim that rock music is a more authentic, sincere form of music.",6381740,268231891
Doja Cat,You Right,360,"3,834,435","410,249,087",1184488,15975626,647,https://www.last.fm/music/Doja+Cat/_/You+Right,https://www.last.fm/music/Doja+Cat,3.0166666666666666,3 мин 01 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3400289,425173698
The Weeknd,Reminder,353,"1,783,256","405,373,518",1048201,15238154,702,https://www.last.fm/music/The+Weeknd/_/Reminder,https://www.last.fm/music/The+Weeknd,3.65,3 мин 39 сек,r&b,"R&B is a musical genre that began to develop as a distinct style in the early 1950s. Originally known as rhythm and blues, it was primarily created by African American musicians and drew influence from both blues and early rock 'n' roll, with significant interaction between these genres. Over time, musicians from different backgrounds adopted the style and introduced new elements. In the 1950s, artists like Muddy Waters contributed to shaping the genre by emphasizing faster melodies and energetic rhythms",5050479,1031011466
Drake,NOKIA,194,"3,350,460","405,250,318",657363,8943076,1305,https://www.last.fm/music/Drake/_/NOKIA,https://www.last.fm/music/Drake,4.033333333333333,4 мин 02 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",6480644,1052429419
NewJeans,Super Shy,192,"4,726,910","401,458,677",1090433,27448206,139,https://www.last.fm/music/NewJeans/_/Super+Shy,https://www.last.fm/music/NewJeans,2.2,2 мин 12 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",1659655,301436663
Justin Bieber,DAISIES,115,"8,349,340","393,771,841",534969,4228789,1656,https://www.last.fm/music/Justin+Bieber/_/DAISIES,https://www.last.fm/music/Justin+Bieber,2.933333333333333,2 мин 56 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4494780,285355382
Kanye West,Heartless,303,"1,881,409","393,249,659",2710098,31677399,82,https://www.last.fm/music/Kanye+West/_/Heartless,https://www.last.fm/music/Kanye+West,4.266666666666667,4 мин 16 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",7696345,1425848929
Ariana Grande,"yes, and?",138,"11,212,602","390,055,717",1061703,24364329,216,"https://www.last.fm/music/Ariana+Grande/_/yes,+and%3F",https://www.last.fm/music/Ariana+Grande,3.566666666666667,3 мин 34 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4198338,1001304833
Ariana Grande,Into You,350,"2,265,842","386,640,759",1511667,23312988,263,https://www.last.fm/music/Ariana+Grande/_/Into+You,https://www.last.fm/music/Ariana+Grande,3.95,3 мин 57 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4198338,1001304833
The Neighbourhood,Softcore,330,"1,704,140","381,951,089",1389872,23564312,248,https://www.last.fm/music/The+Neighbourhood/_/Softcore,https://www.last.fm/music/The+Neighbourhood,3.433333333333333,3 мин 26 сек,indie,"The term 'indie' is best known as being an abbreviation for the word 'independent'. This term is used to differentiate between bands that were/are on a major record label and those that weren't. Indie is not a genre of music, and is only a term for bands on independent labels.",3711268,351516624
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],217,"3,539,810","381,226,013",883187,14265846,776,https://www.last.fm/music/Metro+Boomin/_/Superhero+(Heroes+&+Villains)+%5Bwith+Future+&+Chris+Brown%5D,https://www.last.fm/music/Metro+Boomin,3.033333333333333,3 мин 02 сек,rap,"Rap is a vocal style, usually coming together with hip-hop, the musical genre off-shoot of the hip hop culture. Rapping itself, also known as emceeing, MCing, spitting, or just rhyming, is the rhythmic spoken delivery of rhymes and wordplay. Rapping is one of the four pillars of the hip hop culture, along with DJing, graffiti, and breaking.

Rap is also considered a separate genre from hip hop in some cases where the artists do not make music compatible with the hip hop culture.",2333038,227052153
Arctic Monkeys,No. 1 Party Anthem,259,"1,905,570","377,175,551",1479195,21095338,347,https://www.last.fm/music/Arctic+Monkeys/_/No.+1+Party+Anthem,https://www.last.fm/music/Arctic+Monkeys,4.333333333333333,4 мин 20 сек,indie rock,"Indie rock is a vague term used to identify rock artists that are or were unsigned, or have signed to small record labels, rather than major record labels.",6834211,882703772
Guns N' Roses,Sweet Child O' Mine,338,"1,514,136","376,893,044",2436176,19941563,400,https://www.last.fm/music/Guns+N%27+Roses/_/Sweet+Child+o%27+Mine,https://www.last.fm/music/Guns+N%27+Roses,6.516666666666667,6 мин 31 сек,hard rock,"Hard rock is a loosely defined genre of rock music which has its earliest roots in mid-1960s garage, blues rock and psychedelic rock. It is typified by a heavy use of distorted electric guitars, bass guitar, drums, pianos, and keyboards.

One of the major influences of hard rock is blues music. American and British rock bands began to modify rock and roll, adding to the standard genre harder sounds, heavier guitar riffs, bombastic drumming and louder vocals.",5016399,195158733
KATSEYE,Gabriela,136,"3,331,156","376,722,396",745799,12153543,980,https://www.last.fm/music/KATSEYE/_/Gabriela,https://www.last.fm/music/KATSEYE,3.283333333333333,3 мин 17 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",1235725,70166790
Lady Gaga,Poker Face,276,"2,497,363","376,657,566",3425061,38894306,43,https://www.last.fm/music/Lady+Gaga/_/Poker+Face,https://www.last.fm/music/Lady+Gaga,3.95,3 мин 57 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",7435460,963915459
Tate McRae,Just Keep Watching (From F1® The Movie),157,"3,629,025","376,269,295",524933,7016337,1465,https://www.last.fm/music/Tate+McRae/_/Just+Keep+Watching+(From+F1%C2%AE+The+Movie),https://www.last.fm/music/Tate+McRae,2.3666666666666667,2 мин 22 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2071651,221947016
HUNTR/X,What It Sounds Like,133,"3,504,933","373,451,497",430185,5924066,1536,https://www.last.fm/music/HUNTR%2FX/_/What+It+Sounds+Like,https://www.last.fm/music/HUNTR%2FX,4.166666666666667,4 мин 10 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",901181,31823273
Ariana Grande,God is a woman,228,"4,258,244","368,492,837",1107789,17378441,549,https://www.last.fm/music/Ariana+Grande/_/God+is+a+woman,https://www.last.fm/music/Ariana+Grande,3.2,3 мин 12 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",4198338,1001304833
Taylor Swift,The Fate of Ophelia,31,"30,987,370","362,610,986",685420,12211927,972,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,https://www.last.fm/music/Taylor+Swift,3.7666666666666666,3 мин 46 сек,country,"Country music is a broad term, covering a great many styles of music predominantly created in the southern United States of America - however there are growing traditions of country music elsewhere, particularly in Canada and Australia.

Country music is generally characterized by its use of the guitar and its heavily-accented vocals describing life's hardships. A common joke runs that if one plays a country song backwards, the singer's child recovers from an illness",5681241,3437552088
Kendrick Lamar,DNA.,331,"5,247,033","361,390,580",1640597,23042055,274,https://www.last.fm/music/Kendrick+Lamar/_/DNA.,https://www.last.fm/music/Kendrick+Lamar,3.083333333333333,3 мин 05 сек,hip hop,"Hip hop is a musical genre which developed alongside hip hop culture, defined by key stylistic elements such as rapping, DJing, sampling, scratching and beatboxing. Hip hop began in the Bronx in New York City in the 1970s, primarily among African Americans and Jamaican Americans, with some Latino influences.

The term rap is often used synonymously with hip hop, but hip hop denotes the practices of an entire subculture. Hip hop arose when DJs began isolating the percussion break from funk or disco songs for audiences to dance to.",4853576,961298486
ILLIT,Magnetic,151,"4,023,140","352,534,289",851587,20391856,381,https://www.last.fm/music/ILLIT/_/Magnetic,https://www.last.fm/music/ILLIT,2.6666666666666665,2 мин 40 сек,k-pop,"K-pop means Korean pop, which is a musical genre, sometimes described more as an umbrella term, consisting of different music styles, including hip-hop, rap, jazz, r&b, dance, rock music and ballads. The name for the genre is first recorded in English around 1990–95. Strongly influenced by Western popular music, K-pop took off in 1992 with Seo Taiji and Boys, who incorporated rap, rock, and dance elements into Korean popular music.
Modern K-pop ""idol"" culture began later in the 1990s, as K-pop idol music grew into a subculture.",951745,63911471
Dua Lipa,Physical,242,"3,799,456","350,654,940",956487,17847372,517,https://www.last.fm/music/Dua+Lipa/_/Physical,https://www.last.fm/music/Dua+Lipa,3.216666666666667,3 мин 13 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",3101130,300824016
Rihanna,Breakin' Dishes,219,"2,406,881","350,498,874",1280273,13236139,862,https://www.last.fm/music/Rihanna/_/Breakin%27+Dishes,https://www.last.fm/music/Rihanna,3.333333333333333,3 мин 20 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",8003572,554957209
Sabrina Carpenter,Juno,214,"3,601,118","349,133,616",1029002,22152438,305,https://www.last.fm/music/Sabrina+Carpenter/_/Juno,https://www.last.fm/music/Sabrina+Carpenter,3.716666666666667,3 мин 43 сек,pop,"Pop music is a broad-term for many different types of music: The term is flexible, and the music labeled ""pop"" changes frequently. It usually refers to popular, appealing and mostly mainstream music with emphasis on catchy melodies and an accessible style, with songs that tend to have a short to medium length. Some subgenres may include synthpop, electropop, bubblegum, sophisti-pop, hyperpop and many others.",2983902,547170223
